date,time,text,nearest_match,match_result,source,text_lr,text_bert
2024-07-16,22:16:00,"Promoted teams ballers, and ones to watch.

A thread with their stats from last season??;

Southampton 

?? Adam Armstrong (24??13???)
?? Che Adams (16??4???)

Defenders 
?? Walker-Peters (2??4???)
?? Harwood-Bellis (2??3???)",Tournament window,,euro2024_domain,promoted teams ballers ones watch thread stats last season southampton adam armstrong che adams defenders walker peters harwood bellis,"Promoted teams ballers, and ones to watch. A thread with their stats from last season??; Southampton ?? Adam Armstrong (24??13???) ?? Che Adams (16??4???) Defenders ?? Walker-Peters (2??4???) ?? Harwood-Bellis (2??3???)"
2024-07-16,22:25:00,"A powerful header ??

#U19EURO | @equipedefrance",Tournament window,,euro2024_domain,powerful header euro,A powerful header ?? #U19EURO | @user
2024-07-17,08:11:00,"Lamine Yamal ?? Nico Williams ?

#EURO2024",Tournament window,,euro2024_domain,lamine yamal nico williams euro,Lamine Yamal ?? Nico Williams ? #EURO2024
2024-07-17,08:15:00,"?? Ayhan Bora Kaplan davas?nda bomba iddia! Bekir Bozda? detay?n? ?smail Saymaz anlatt?!

?? Gözde ?eker (@gozdeseker) ile #YeniBirSabah    

?? yewtu.be/5MCqdaMiE8E",Tournament window,,euro2024_domain,ayhan bora kaplan davas nda bomba iddia bekir bozda detay smail saymaz anlatt zde eker ile yenibirsabah yewtu mcqdamie,?? Ayhan Bora Kaplan davas?nda bomba iddia! Bekir Bozda? detay?n? ?smail Saymaz anlatt?! ?? Gzde ?eker (@user) ile #YeniBirSabah ?? yewtu.be/5MCqdaMiE8E
2024-07-17,08:42:00,"Italy take top spot after the first round of matches ????

#U19EURO",Tournament window,,euro2024_domain,italy take top spot after first round matches euro,Italy take top spot after the first round of matches ???? #U19EURO
2024-07-17,08:53:00,"AK Partide TRTyi kim kurtard? kavgas? var. 
Soylu, TRTyi darbecilerden ald???n? öne sürmü?tü.
Fakat AK Parti Genel Ba?kan Vekili Efkan Ala, TRT talimat?n? kendisinin verdi?ini, binay? Emniyet Müdürü Engin Dinçin kurtard???n? söylüyor.
Ala ve Dinç, Soylu ile kanl? b?çakl?",Tournament window,,euro2024_domain,parti trt kim kurtard kavgas var soylu trt darbecilerden ald fakat parti genel kan vekili efkan ala trt talimat kendisinin verdi ini binay emniyet engin din kurtard yor ala din soylu ile kanl akl,"AK Partide TRTyi kim kurtard? kavgas? var. Soylu, TRTyi darbecilerden ald???n? ne srm?t. Fakat AK Parti Genel Ba?kan Vekili Efkan Ala, TRT talimat?n? kendisinin verdi?ini, binay? Emniyet Mdr Engin Dinin kurtard???n? sylyor. Ala ve Din, Soylu ile kanl? b?akl?"
2024-07-17,08:55:00,"Gift Orban. History maker ??

The fastest ever UEFA club competition hat-trick ??

#HBD || #UECL",Tournament window,,euro2024_domain,gift orban history maker fastest ever uefa club competition hat trick hbd uecl,Gift Orban. History maker ?? The fastest ever UEFA club competition hat-trick ?? #HBD || #UECL
2024-07-17,08:58:00,"?? 10 great goals from EURO 2024!

Tap below to vote for the Fans' Goal of the Tournament ????

#EUROGOTT | @AlipayPlus",Tournament window,,euro2024_domain,great goals euro tap below vote fans goal tournament eurogott,?? 10 great goals from EURO 2024! Tap below to vote for the Fans' Goal of the Tournament ???? #EUROGOTT | @user
2024-07-17,09:00:00,"Name the year ??

#UEL",Tournament window,,euro2024_domain,name year uel,Name the year ?? #UEL
2024-07-17,09:29:00,"#EURO2024 ends, but $BEER is just taking off! ??
Join the wave & ride $BEER ??to the moon! 

??CA: 0xd533fa739d24871108cD868064b71D9c705a5126

??Grab your $BEER ??: pancakeswap.finance/swap?cha

#Crypto #BEER #LFG",Tournament window,,euro2024_domain,euro ends beer just taking off join wave ride beer moon grab beer pancakeswap finance swap cha crypto beer lfg,"#EURO2024 ends, but $BEER is just taking off! ?? Join the wave & ride $BEER ??to the moon! ??CA: 0xd533fa739d24871108cD868064b71D9c705a5126 ??Grab your $BEER ??: pancakeswap.finance/swap?cha #Crypto #BEER #LFG"
